Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
136,47.0,47.0,43.0,43.0,43.0,45.0,44.0,46.0,45.0,48.0
137,48.0,51.0,48.0,48.0,48.0,46.0,46.0,50.0,46.0,51.0
138,43.0,47.0,42.0,42.0,42.0,43.0,43.0,44.0,43.0,48.0
139,47.0,47.0,43.0,43.0,43.0,47.0,47.0,44.0,47.0,46.0
140,47.0,45.0,44.0,44.0,44.0,48.0,49.0,43.0,48.0,50.0
141,45.0,51.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,49.0
142,47.0,52.0,48.0,48.0,48.0,47.0,47.0,49.0,47.0,49.0
143,48.0,49.0,49.0,49.0,49.0,48.0,49.0,47.0,48.0,53.0
144,45.0,52.0,48.0,48.0,48.0,48.0,48.0,47.0,48.0,50.0
145,47.0,49.0,46.0,46.0,46.0,46.0,47.0,46.0,46.0,50.0
146,48.0,50.0,50.0,50.0,50.0,48.0,49.0,48.0,48.0,54.0
147,45.0,52.0,48.0,48.0,48.0,47.0,47.0,47.0,47.0,50.0
148,50.0,53.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0
149,49.0,50.0,50.0,50.0,50.0,47.0,49.0,48.0,47.0,54.0
150,46.0,53.0,49.0,49.0,49.0,48.0,48.0,47.0,48.0,50.0
151,51.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,50.0,51.0
152,50.0,51.0,51.0,51.0,51.0,48.0,49.0,49.0,48.0,55.0
153,47.0,50.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,49.0
154,48.0,47.0,48.0,48.0,48.0,47.0,47.0,46.0,47.0,50.0
155,48.0,49.0,49.0,49.0,49.0,47.0,48.0,49.0,47.0,53.0
156,44.0,52.0,47.0,47.0,47.0,46.0,47.0,46.0,46.0,52.0
157,50.0,53.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,50.0
158,49.0,50.0,49.0,49.0,49.0,46.0,48.0,48.0,46.0,54.0
159,45.0,53.0,48.0,48.0,48.0,47.0,48.0,46.0,47.0,52.0
160,50.0,51.0,51.0,51.0,51.0,50.0,50.0,49.0,50.0,51.0
161,50.0,51.0,50.0,50.0,50.0,47.0,48.0,49.0,47.0,55.0
162,46.0,51.0,48.0,48.0,48.0,47.0,48.0,47.0,47.0,49.0
163,50.0,48.0,49.0,49.0,49.0,48.0,48.0,47.0,48.0,49.0
164,51.0,50.0,50.0,50.0,50.0,47.0,48.0,49.0,47.0,53.0
165,45.0,46.0,43.0,43.0,43.0,45.0,46.0,45.0,45.0,47.0
166,47.0,43.0,44.0,44.0,44.0,45.0,45.0,44.0,45.0,47.0
167,51.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,51.0
