Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
144,58.0,51.0,54.0,55.0,51.0,54.0,55.0,55.0,58.0,55.0,56.0
145,60.0,42.0,54.0,54.0,42.0,54.0,53.0,51.0,49.0,55.0,47.0
146,61.0,48.0,55.0,55.0,48.0,55.0,54.0,52.0,55.0,57.0,53.0
147,62.0,57.0,58.0,57.0,57.0,57.0,56.0,55.0,61.0,59.0,55.0
148,60.0,48.0,59.0,59.0,48.0,55.0,59.0,58.0,52.0,59.0,46.0
149,60.0,54.0,60.0,60.0,54.0,55.0,60.0,59.0,58.0,61.0,52.0
150,62.0,58.0,58.0,58.0,58.0,56.0,57.0,56.0,62.0,59.0,56.0
151,60.0,49.0,60.0,60.0,49.0,54.0,60.0,59.0,53.0,59.0,47.0
152,60.0,55.0,61.0,61.0,55.0,55.0,61.0,60.0,59.0,61.0,53.0
153,56.0,58.0,58.0,58.0,58.0,53.0,57.0,57.0,56.0,53.0,56.0
154,56.0,49.0,60.0,60.0,49.0,50.0,60.0,60.0,48.0,53.0,47.0
155,58.0,55.0,61.0,61.0,55.0,52.0,61.0,61.0,53.0,55.0,53.0
156,61.0,61.0,61.0,61.0,61.0,56.0,55.0,54.0,60.0,58.0,61.0
157,59.0,52.0,59.0,58.0,52.0,54.0,58.0,58.0,52.0,58.0,52.0
158,61.0,58.0,59.0,59.0,58.0,54.0,59.0,58.0,57.0,60.0,58.0
159,61.0,62.0,62.0,62.0,62.0,56.0,56.0,55.0,61.0,58.0,62.0
160,59.0,53.0,60.0,59.0,53.0,54.0,59.0,59.0,53.0,58.0,53.0
161,61.0,59.0,60.0,60.0,59.0,55.0,60.0,59.0,58.0,60.0,59.0
162,57.0,62.0,62.0,62.0,62.0,55.0,56.0,56.0,57.0,54.0,62.0
163,57.0,53.0,60.0,59.0,53.0,52.0,59.0,60.0,49.0,54.0,53.0
164,61.0,59.0,60.0,60.0,59.0,55.0,60.0,60.0,54.0,57.0,59.0
165,52.0,55.0,56.0,56.0,55.0,50.0,56.0,56.0,51.0,48.0,58.0
166,52.0,46.0,56.0,56.0,46.0,48.0,56.0,56.0,44.0,49.0,49.0
167,57.0,52.0,58.0,58.0,52.0,51.0,58.0,58.0,48.0,53.0,55.0
