Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
97,52.0,51.0,52.0,52.0,52.0,52.0,53.0,51.0,52.0,52.0,52.0,51.0,52.0,52.0,51.0,52.0
98,51.0,50.0,50.0,50.0,50.0,52.0,50.0,51.0,52.0,52.0,52.0,49.0,50.0,50.0,49.0,50.0
99,46.0,44.0,47.0,46.0,47.0,46.0,46.0,46.0,46.0,45.0,46.0,45.0,44.0,46.0,43.0,46.0
100,52.0,51.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,50.0,52.0,51.0,51.0,52.0,50.0,51.0
101,50.0,49.0,52.0,49.0,52.0,52.0,50.0,51.0,52.0,50.0,52.0,48.0,49.0,49.0,48.0,49.0
102,47.0,45.0,47.0,47.0,48.0,46.0,46.0,46.0,47.0,46.0,46.0,46.0,45.0,46.0,44.0,47.0
103,53.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,51.0,51.0,51.0,50.0,51.0,51.0,50.0,51.0
104,50.0,49.0,49.0,49.0,49.0,51.0,49.0,52.0,51.0,51.0,51.0,48.0,49.0,49.0,48.0,49.0
105,47.0,46.0,47.0,47.0,48.0,46.0,46.0,46.0,47.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0
106,49.0,48.0,48.0,49.0,48.0,48.0,52.0,48.0,49.0,48.0,48.0,48.0,48.0,48.0,51.0,48.0
107,49.0,48.0,48.0,49.0,49.0,48.0,48.0,48.0,49.0,48.0,48.0,48.0,48.0,48.0,47.0,48.0
108,41.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,41.0,42.0,41.0,40.0,42.0,39.0,40.0
109,43.0,42.0,43.0,42.0,43.0,43.0,47.0,42.0,43.0,43.0,43.0,42.0,42.0,42.0,46.0,42.0
110,47.0,46.0,46.0,45.0,46.0,45.0,46.0,45.0,45.0,45.0,45.0,44.0,46.0,45.0,45.0,46.0
111,41.0,40.0,43.0,42.0,43.0,42.0,42.0,41.0,42.0,41.0,42.0,41.0,41.0,42.0,40.0,42.0
112,47.0,46.0,46.0,45.0,46.0,45.0,48.0,45.0,45.0,45.0,45.0,44.0,46.0,45.0,47.0,46.0
113,46.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,45.0,45.0,46.0
114,41.0,41.0,43.0,41.0,43.0,41.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0,42.0,39.0,41.0
115,46.0,45.0,45.0,44.0,45.0,44.0,48.0,46.0,44.0,44.0,44.0,43.0,45.0,44.0,46.0,45.0
116,45.0,44.0,46.0,46.0,46.0,46.0,46.0,47.0,46.0,45.0,46.0,45.0,45.0,45.0,44.0,45.0
117,42.0,42.0,43.0,42.0,43.0,41.0,41.0,41.0,42.0,41.0,41.0,41.0,41.0,42.0,40.0,41.0
118,43.0,42.0,43.0,42.0,43.0,43.0,48.0,43.0,43.0,43.0,43.0,42.0,42.0,42.0,47.0,42.0
119,46.0,45.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0,45.0,46.0,45.0,45.0,46.0
120,42.0,39.0,42.0,41.0,42.0,41.0,41.0,40.0,41.0,41.0,41.0,40.0,40.0,40.0,39.0,42.0
121,46.0,45.0,46.0,46.0,46.0,46.0,48.0,45.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,46.0
122,45.0,44.0,47.0,46.0,47.0,46.0,46.0,45.0,46.0,46.0,46.0,46.0,44.0,45.0,44.0,44.0
123,41.0,39.0,42.0,41.0,42.0,41.0,41.0,40.0,41.0,40.0,41.0,40.0,39.0,40.0,38.0,41.0
124,46.0,45.0,46.0,46.0,46.0,46.0,48.0,46.0,46.0,45.0,46.0,46.0,45.0,45.0,45.0,45.0
125,45.0,44.0,47.0,46.0,47.0,46.0,46.0,46.0,46.0,45.0,46.0,46.0,44.0,45.0,44.0,44.0
126,41.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,39.0,42.0
127,46.0,45.0,46.0,46.0,46.0,46.0,48.0,45.0,46.0,46.0,46.0,45.0,46.0,45.0,46.0,46.0
128,45.0,44.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0,45.0,44.0,45.0,45.0,44.0
129,40.0,38.0,41.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,40.0,39.0,38.0,39.0,37.0,40.0
130,46.0,45.0,46.0,46.0,46.0,46.0,47.0,46.0,46.0,44.0,46.0,45.0,45.0,45.0,45.0,45.0
131,44.0,43.0,46.0,45.0,46.0,46.0,46.0,46.0,46.0,44.0,46.0,45.0,43.0,44.0,44.0,43.0
132,41.0,39.0,41.0,41.0,42.0,40.0,40.0,40.0,41.0,40.0,40.0,40.0,39.0,39.0,38.0,41.0
133,47.0,45.0,45.0,45.0,45.0,45.0,47.0,46.0,45.0,45.0,45.0,44.0,45.0,44.0,45.0,45.0
134,44.0,43.0,45.0,46.0,45.0,45.0,46.0,46.0,46.0,45.0,45.0,45.0,43.0,44.0,44.0,43.0
135,41.0,40.0,41.0,41.0,42.0,40.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0
136,43.0,42.0,42.0,42.0,42.0,42.0,47.0,42.0,43.0,42.0,42.0,43.0,42.0,41.0,46.0,42.0
137,43.0,43.0,45.0,46.0,45.0,45.0,46.0,44.0,46.0,45.0,45.0,45.0,44.0,44.0,45.0,44.0
138,39.0,38.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,38.0,39.0,38.0,40.0
139,44.0,44.0,46.0,46.0,46.0,46.0,46.0,44.0,46.0,46.0,46.0,46.0,44.0,45.0,44.0,44.0
140,43.0,43.0,46.0,44.0,46.0,45.0,45.0,44.0,45.0,45.0,45.0,46.0,43.0,43.0,43.0,43.0
141,39.0,39.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,39.0,40.0,39.0,38.0,39.0,38.0,39.0
142,44.0,44.0,46.0,46.0,46.0,46.0,47.0,45.0,46.0,45.0,46.0,46.0,44.0,45.0,45.0,44.0
143,43.0,43.0,46.0,44.0,46.0,45.0,46.0,45.0,45.0,45.0,45.0,46.0,43.0,43.0,44.0,43.0
