Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
152,59.0,56.0,59.0,59.0,58.0,54.0,59.0,59.0
153,49.0,49.0,49.0,49.0,51.0,43.0,49.0,52.0
154,49.0,51.0,49.0,49.0,56.0,49.0,49.0,50.0
155,54.0,55.0,54.0,54.0,57.0,44.0,54.0,53.0
156,54.0,57.0,54.0,53.0,54.0,53.0,53.0,56.0
157,53.0,55.0,53.0,54.0,53.0,57.0,54.0,54.0
158,58.0,58.0,58.0,57.0,56.0,53.0,57.0,58.0
159,54.0,54.0,54.0,54.0,55.0,52.0,54.0,57.0
160,54.0,56.0,54.0,55.0,54.0,58.0,55.0,55.0
161,59.0,59.0,59.0,58.0,57.0,53.0,58.0,58.0
162,54.0,54.0,54.0,54.0,52.0,48.0,54.0,54.0
163,54.0,56.0,54.0,54.0,55.0,54.0,54.0,55.0
164,59.0,60.0,59.0,59.0,57.0,49.0,59.0,55.0
165,44.0,45.0,48.0,48.0,51.0,38.0,44.0,48.0
166,44.0,47.0,48.0,48.0,54.0,44.0,44.0,49.0
167,49.0,51.0,53.0,53.0,56.0,40.0,49.0,49.0
