Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
88,41.0,38.0,40.0,40.0,41.0,41.0,41.0,40.0,42.0,42.0,42.0,40.0,40.0,38.0,39.0
89,42.0,42.0,43.0,41.0,43.0,43.0,43.0,43.0,42.0,44.0,42.0,43.0,43.0,43.0,42.0
90,42.0,42.0,39.0,41.0,39.0,40.0,37.0,41.0,37.0,38.0,37.0,39.0,40.0,41.0,37.0
91,43.0,43.0,41.0,40.0,43.0,43.0,43.0,42.0,37.0,43.0,37.0,41.0,42.0,42.0,42.0
92,43.0,44.0,43.0,42.0,42.0,42.0,41.0,43.0,38.0,41.0,38.0,43.0,43.0,43.0,39.0
93,42.0,41.0,40.0,41.0,40.0,41.0,37.0,42.0,37.0,38.0,37.0,40.0,41.0,41.0,38.0
94,43.0,42.0,42.0,41.0,43.0,43.0,43.0,43.0,39.0,43.0,39.0,42.0,43.0,42.0,43.0
95,43.0,44.0,43.0,42.0,43.0,43.0,41.0,43.0,42.0,41.0,42.0,43.0,43.0,43.0,40.0
96,42.0,40.0,39.0,41.0,39.0,40.0,37.0,41.0,37.0,38.0,37.0,39.0,40.0,41.0,37.0
97,43.0,42.0,41.0,40.0,43.0,43.0,43.0,42.0,40.0,43.0,40.0,41.0,42.0,42.0,42.0
98,43.0,44.0,43.0,42.0,42.0,42.0,41.0,43.0,43.0,41.0,43.0,43.0,43.0,43.0,39.0
99,42.0,41.0,40.0,40.0,41.0,41.0,36.0,41.0,36.0,37.0,36.0,40.0,40.0,41.0,37.0
100,43.0,42.0,42.0,40.0,43.0,43.0,43.0,42.0,39.0,43.0,39.0,42.0,42.0,42.0,42.0
101,43.0,44.0,43.0,42.0,43.0,43.0,41.0,43.0,42.0,41.0,42.0,43.0,42.0,43.0,41.0
102,42.0,41.0,40.0,40.0,40.0,41.0,36.0,40.0,37.0,37.0,37.0,40.0,40.0,41.0,38.0
103,43.0,42.0,41.0,39.0,43.0,43.0,43.0,41.0,40.0,43.0,40.0,41.0,41.0,42.0,41.0
104,43.0,44.0,43.0,42.0,43.0,43.0,41.0,43.0,43.0,41.0,43.0,43.0,43.0,43.0,40.0
105,38.0,37.0,39.0,36.0,39.0,40.0,36.0,39.0,37.0,37.0,37.0,39.0,39.0,37.0,37.0
106,40.0,38.0,38.0,37.0,41.0,41.0,39.0,38.0,40.0,39.0,40.0,38.0,38.0,38.0,38.0
107,40.0,43.0,42.0,40.0,42.0,42.0,38.0,42.0,43.0,39.0,43.0,42.0,42.0,42.0,39.0
108,35.0,37.0,37.0,35.0,33.0,33.0,33.0,37.0,36.0,39.0,36.0,37.0,37.0,33.0,31.0
109,41.0,38.0,38.0,37.0,34.0,34.0,38.0,38.0,37.0,42.0,37.0,38.0,38.0,34.0,34.0
110,41.0,38.0,38.0,37.0,37.0,37.0,38.0,38.0,37.0,43.0,37.0,38.0,39.0,37.0,37.0
111,40.0,38.0,38.0,38.0,37.0,37.0,33.0,37.0,36.0,38.0,36.0,38.0,38.0,37.0,34.0
112,42.0,39.0,38.0,41.0,38.0,38.0,37.0,38.0,37.0,43.0,37.0,38.0,39.0,38.0,37.0
113,42.0,43.0,42.0,43.0,41.0,41.0,38.0,41.0,38.0,44.0,38.0,42.0,42.0,42.0,40.0
114,42.0,38.0,37.0,37.0,38.0,38.0,33.0,38.0,36.0,38.0,36.0,37.0,37.0,37.0,34.0
115,43.0,39.0,38.0,40.0,39.0,39.0,37.0,39.0,38.0,42.0,38.0,38.0,39.0,38.0,36.0
116,43.0,42.0,42.0,42.0,42.0,42.0,38.0,41.0,41.0,44.0,41.0,42.0,42.0,41.0,40.0
117,38.0,37.0,37.0,36.0,37.0,37.0,32.0,37.0,36.0,38.0,36.0,37.0,37.0,33.0,33.0
118,41.0,38.0,38.0,37.0,38.0,38.0,37.0,38.0,39.0,42.0,39.0,38.0,38.0,34.0,35.0
119,41.0,39.0,41.0,41.0,41.0,41.0,38.0,40.0,42.0,44.0,42.0,41.0,41.0,39.0,39.0
120,42.0,41.0,40.0,40.0,36.0,36.0,32.0,41.0,37.0,38.0,37.0,40.0,40.0,37.0,34.0
121,43.0,43.0,41.0,41.0,41.0,41.0,38.0,42.0,37.0,44.0,37.0,41.0,42.0,38.0,40.0
122,43.0,43.0,43.0,43.0,42.0,42.0,38.0,43.0,38.0,42.0,38.0,43.0,43.0,43.0,40.0
123,42.0,42.0,41.0,41.0,37.0,37.0,32.0,42.0,37.0,38.0,37.0,41.0,41.0,37.0,36.0
124,43.0,43.0,42.0,42.0,42.0,42.0,38.0,43.0,39.0,44.0,39.0,42.0,43.0,38.0,40.0
125,44.0,43.0,43.0,43.0,43.0,43.0,38.0,43.0,42.0,42.0,42.0,43.0,43.0,43.0,41.0
126,42.0,38.0,40.0,40.0,36.0,36.0,32.0,41.0,37.0,38.0,37.0,40.0,40.0,37.0,34.0
127,43.0,40.0,41.0,41.0,41.0,41.0,38.0,42.0,40.0,44.0,40.0,41.0,42.0,38.0,39.0
128,43.0,43.0,43.0,43.0,42.0,42.0,38.0,43.0,43.0,42.0,43.0,43.0,43.0,43.0,40.0
129,42.0,41.0,40.0,40.0,36.0,36.0,31.0,41.0,36.0,37.0,36.0,40.0,40.0,37.0,36.0
130,43.0,42.0,42.0,41.0,41.0,41.0,38.0,42.0,39.0,44.0,39.0,42.0,42.0,38.0,39.0
131,43.0,43.0,43.0,43.0,43.0,43.0,38.0,43.0,42.0,42.0,42.0,43.0,42.0,43.0,42.0
132,42.0,38.0,39.0,39.0,37.0,37.0,32.0,40.0,37.0,37.0,37.0,39.0,39.0,37.0,35.0
133,43.0,39.0,41.0,40.0,40.0,40.0,38.0,41.0,40.0,44.0,40.0,41.0,41.0,38.0,38.0
134,43.0,43.0,43.0,43.0,43.0,43.0,38.0,43.0,43.0,42.0,43.0,43.0,43.0,43.0,41.0
135,38.0,37.0,38.0,36.0,36.0,36.0,31.0,38.0,37.0,37.0,37.0,38.0,38.0,33.0,34.0
136,41.0,38.0,38.0,37.0,38.0,38.0,36.0,38.0,40.0,40.0,40.0,38.0,38.0,34.0,36.0
137,41.0,39.0,42.0,41.0,42.0,42.0,37.0,42.0,43.0,39.0,43.0,42.0,42.0,39.0,40.0
138,42.0,42.0,41.0,39.0,36.0,36.0,32.0,41.0,36.0,38.0,36.0,41.0,41.0,37.0,37.0
139,41.0,43.0,37.0,38.0,42.0,42.0,38.0,37.0,35.0,39.0,35.0,37.0,39.0,38.0,40.0
140,41.0,44.0,41.0,41.0,38.0,38.0,37.0,41.0,35.0,37.0,35.0,41.0,41.0,43.0,40.0
141,42.0,43.0,42.0,40.0,37.0,37.0,32.0,42.0,36.0,38.0,36.0,42.0,42.0,37.0,38.0
142,41.0,44.0,38.0,38.0,43.0,43.0,38.0,38.0,35.0,39.0,35.0,38.0,40.0,38.0,41.0
143,41.0,44.0,42.0,42.0,39.0,39.0,37.0,42.0,36.0,38.0,36.0,42.0,42.0,43.0,41.0
144,42.0,42.0,41.0,39.0,36.0,36.0,32.0,41.0,36.0,38.0,36.0,41.0,41.0,37.0,37.0
145,41.0,43.0,37.0,38.0,42.0,42.0,38.0,37.0,35.0,39.0,35.0,37.0,39.0,38.0,40.0
146,41.0,44.0,41.0,41.0,38.0,38.0,37.0,41.0,37.0,39.0,37.0,41.0,41.0,43.0,40.0
147,42.0,43.0,41.0,40.0,37.0,37.0,32.0,42.0,35.0,38.0,35.0,41.0,41.0,37.0,38.0
148,41.0,44.0,37.0,38.0,43.0,43.0,38.0,38.0,35.0,39.0,35.0,37.0,39.0,38.0,42.0
149,41.0,44.0,42.0,42.0,39.0,39.0,37.0,42.0,36.0,37.0,36.0,42.0,41.0,43.0,42.0
150,42.0,43.0,42.0,40.0,37.0,37.0,32.0,42.0,36.0,38.0,36.0,42.0,42.0,37.0,37.0
151,41.0,44.0,38.0,38.0,43.0,43.0,38.0,38.0,35.0,39.0,35.0,38.0,38.0,38.0,41.0
152,41.0,44.0,42.0,42.0,39.0,39.0,37.0,42.0,37.0,38.0,37.0,42.0,42.0,43.0,41.0
153,42.0,39.0,41.0,39.0,36.0,36.0,31.0,41.0,36.0,38.0,36.0,41.0,41.0,37.0,36.0
154,41.0,40.0,37.0,37.0,42.0,42.0,37.0,37.0,35.0,39.0,35.0,37.0,37.0,38.0,40.0
155,41.0,44.0,41.0,41.0,38.0,38.0,37.0,41.0,37.0,37.0,37.0,41.0,41.0,43.0,40.0
156,42.0,42.0,40.0,39.0,36.0,36.0,31.0,41.0,34.0,37.0,34.0,40.0,40.0,37.0,37.0
157,41.0,43.0,36.0,38.0,43.0,43.0,38.0,37.0,34.0,39.0,34.0,36.0,38.0,38.0,41.0
158,41.0,44.0,41.0,41.0,38.0,38.0,36.0,41.0,36.0,37.0,36.0,41.0,40.0,43.0,41.0
159,42.0,42.0,41.0,39.0,36.0,36.0,31.0,41.0,35.0,37.0,35.0,41.0,41.0,37.0,37.0
160,41.0,43.0,37.0,38.0,43.0,43.0,38.0,38.0,34.0,39.0,34.0,37.0,37.0,38.0,40.0
161,41.0,44.0,41.0,41.0,38.0,38.0,36.0,41.0,37.0,37.0,37.0,41.0,41.0,43.0,40.0
162,42.0,39.0,40.0,38.0,36.0,36.0,31.0,40.0,36.0,37.0,36.0,40.0,40.0,37.0,36.0
163,41.0,39.0,37.0,37.0,42.0,42.0,37.0,38.0,35.0,39.0,35.0,37.0,38.0,38.0,39.0
164,41.0,44.0,40.0,40.0,38.0,38.0,36.0,40.0,37.0,37.0,37.0,40.0,40.0,43.0,39.0
165,38.0,38.0,36.0,36.0,35.0,35.0,30.0,36.0,36.0,37.0,36.0,36.0,36.0,33.0,35.0
166,37.0,38.0,36.0,33.0,38.0,38.0,36.0,37.0,35.0,36.0,35.0,36.0,37.0,34.0,36.0
167,37.0,40.0,36.0,36.0,37.0,37.0,36.0,37.0,37.0,36.0,37.0,36.0,37.0,39.0,38.0
