Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
144,48.0,45.0,48.0,49.0,49.0,49.0,49.0,49.0,47.0,49.0,45.0,49.0,46.0,49.0,49.0,49.0
145,46.0,46.0,46.0,45.0,43.0,43.0,47.0,41.0,45.0,47.0,46.0,47.0,44.0,47.0,46.0,41.0
146,51.0,45.0,51.0,46.0,46.0,46.0,46.0,44.0,45.0,46.0,51.0,46.0,46.0,46.0,46.0,45.0
147,48.0,47.0,48.0,49.0,50.0,50.0,49.0,50.0,47.0,49.0,45.0,49.0,46.0,49.0,49.0,50.0
148,49.0,45.0,49.0,45.0,44.0,44.0,47.0,41.0,45.0,47.0,46.0,47.0,45.0,47.0,46.0,42.0
149,51.0,47.0,51.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,51.0,46.0,46.0,46.0,46.0,46.0
150,48.0,46.0,48.0,50.0,50.0,50.0,50.0,50.0,48.0,50.0,45.0,50.0,47.0,50.0,50.0,50.0
151,46.0,46.0,46.0,46.0,45.0,45.0,48.0,42.0,45.0,48.0,46.0,48.0,45.0,48.0,47.0,43.0
152,50.0,46.0,50.0,47.0,46.0,46.0,47.0,46.0,45.0,47.0,50.0,47.0,45.0,47.0,47.0,46.0
153,48.0,47.0,48.0,49.0,50.0,50.0,49.0,50.0,47.0,49.0,45.0,49.0,46.0,49.0,49.0,50.0
154,46.0,45.0,46.0,45.0,43.0,43.0,47.0,42.0,46.0,47.0,46.0,47.0,44.0,47.0,46.0,44.0
155,47.0,47.0,47.0,45.0,46.0,46.0,46.0,46.0,45.0,46.0,45.0,46.0,46.0,46.0,46.0,46.0
156,47.0,46.0,47.0,48.0,50.0,50.0,48.0,50.0,46.0,48.0,44.0,48.0,45.0,48.0,48.0,50.0
157,48.0,44.0,48.0,44.0,43.0,43.0,46.0,40.0,45.0,46.0,45.0,46.0,44.0,46.0,45.0,42.0
158,50.0,46.0,50.0,45.0,46.0,46.0,46.0,46.0,45.0,46.0,50.0,46.0,45.0,46.0,45.0,46.0
159,48.0,47.0,48.0,49.0,51.0,51.0,49.0,51.0,47.0,49.0,45.0,49.0,46.0,49.0,49.0,51.0
160,49.0,45.0,49.0,45.0,44.0,44.0,47.0,41.0,46.0,47.0,46.0,47.0,44.0,47.0,46.0,43.0
161,51.0,45.0,51.0,46.0,47.0,47.0,47.0,47.0,49.0,47.0,51.0,47.0,46.0,47.0,46.0,47.0
162,48.0,46.0,48.0,48.0,50.0,50.0,48.0,50.0,48.0,48.0,45.0,48.0,47.0,48.0,48.0,50.0
163,46.0,44.0,46.0,46.0,45.0,45.0,46.0,41.0,45.0,46.0,45.0,46.0,45.0,46.0,46.0,43.0
164,50.0,46.0,50.0,46.0,46.0,46.0,46.0,46.0,50.0,46.0,50.0,46.0,45.0,46.0,46.0,46.0
165,47.0,47.0,47.0,47.0,51.0,51.0,47.0,51.0,47.0,47.0,44.0,47.0,46.0,47.0,47.0,51.0
166,45.0,45.0,45.0,45.0,41.0,41.0,47.0,41.0,41.0,47.0,44.0,47.0,44.0,47.0,46.0,43.0
167,45.0,45.0,45.0,45.0,47.0,47.0,47.0,47.0,45.0,47.0,45.0,47.0,44.0,47.0,46.0,47.0
