Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
93,42.0,38.0,38.0,38.0,36.0,36.0,38.0,36.0,41.0,37.0,41.0,41.0,41.0,37.0,37.0,42.0
94,39.0,37.0,40.0,37.0,36.0,36.0,40.0,36.0,40.0,38.0,40.0,38.0,38.0,37.0,38.0,40.0
95,43.0,37.0,39.0,37.0,37.0,37.0,39.0,37.0,41.0,43.0,41.0,42.0,42.0,38.0,43.0,43.0
96,42.0,38.0,38.0,38.0,37.0,32.0,37.0,33.0,39.0,38.0,39.0,41.0,41.0,37.0,38.0,42.0
97,40.0,37.0,37.0,37.0,37.0,34.0,37.0,34.0,40.0,39.0,40.0,39.0,39.0,37.0,39.0,40.0
98,44.0,37.0,37.0,37.0,38.0,36.0,37.0,38.0,42.0,44.0,42.0,43.0,43.0,38.0,44.0,43.0
99,41.0,41.0,40.0,41.0,35.0,35.0,40.0,35.0,40.0,36.0,40.0,40.0,40.0,36.0,36.0,41.0
100,39.0,37.0,39.0,37.0,35.0,35.0,39.0,35.0,41.0,37.0,39.0,38.0,38.0,36.0,37.0,39.0
101,42.0,37.0,41.0,37.0,36.0,36.0,41.0,36.0,40.0,42.0,40.0,41.0,41.0,37.0,42.0,42.0
102,41.0,42.0,41.0,42.0,36.0,31.0,41.0,32.0,40.0,37.0,38.0,40.0,40.0,36.0,37.0,41.0
103,40.0,37.0,38.0,37.0,36.0,33.0,39.0,33.0,42.0,38.0,39.0,39.0,39.0,36.0,38.0,39.0
104,43.0,37.0,41.0,37.0,37.0,35.0,41.0,37.0,41.0,43.0,41.0,42.0,42.0,37.0,43.0,42.0
105,39.0,38.0,37.0,38.0,32.0,28.0,37.0,32.0,37.0,35.0,34.0,38.0,38.0,30.0,35.0,38.0
106,40.0,36.0,36.0,36.0,33.0,32.0,36.0,34.0,39.0,36.0,35.0,39.0,39.0,31.0,36.0,39.0
107,42.0,37.0,37.0,37.0,36.0,33.0,37.0,36.0,39.0,40.0,39.0,41.0,41.0,35.0,40.0,41.0
108,33.0,31.0,30.0,31.0,26.0,26.0,30.0,30.0,32.0,27.0,32.0,33.0,33.0,29.0,28.0,33.0
109,32.0,32.0,32.0,32.0,27.0,27.0,32.0,30.0,32.0,30.0,33.0,30.0,30.0,30.0,30.0,33.0
110,34.0,34.0,32.0,34.0,29.0,29.0,32.0,32.0,29.0,32.0,32.0,34.0,34.0,30.0,33.0,34.0
111,34.0,34.0,34.0,34.0,32.0,30.0,32.0,30.0,36.0,32.0,36.0,34.0,34.0,32.0,32.0,34.0
112,33.0,34.0,35.0,34.0,30.0,31.0,33.0,31.0,38.0,33.0,38.0,31.0,31.0,30.0,33.0,34.0
113,35.0,34.0,37.0,34.0,30.0,32.0,37.0,33.0,34.0,35.0,34.0,35.0,35.0,31.0,36.0,36.0
114,34.0,33.0,35.0,33.0,31.0,29.0,35.0,31.0,36.0,31.0,36.0,34.0,34.0,31.0,31.0,34.0
115,35.0,33.0,35.0,33.0,30.0,30.0,35.0,32.0,37.0,33.0,37.0,34.0,34.0,31.0,33.0,35.0
116,38.0,33.0,37.0,33.0,31.0,31.0,37.0,36.0,35.0,35.0,35.0,37.0,37.0,34.0,36.0,38.0
117,35.0,31.0,32.0,31.0,30.0,28.0,32.0,31.0,34.0,29.0,34.0,34.0,34.0,30.0,31.0,34.0
118,36.0,33.0,33.0,33.0,31.0,28.0,33.0,32.0,35.0,31.0,35.0,35.0,35.0,31.0,31.0,35.0
119,39.0,34.0,37.0,34.0,32.0,31.0,37.0,37.0,36.0,34.0,35.0,38.0,38.0,35.0,34.0,38.0
120,38.0,39.0,38.0,39.0,33.0,37.0,38.0,37.0,37.0,35.0,38.0,38.0,38.0,37.0,35.0,38.0
