Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
134,67.0,67.0,67.0,67.0,64.0,64.0,65.0,65.0,62.0,67.0,62.0,62.0
135,63.0,62.0,62.0,63.0,63.0,63.0,62.0,61.0,57.0,57.0,57.0,57.0
136,66.0,63.0,63.0,63.0,66.0,64.0,64.0,64.0,61.0,61.0,61.0,62.0
137,68.0,68.0,68.0,68.0,65.0,65.0,66.0,66.0,63.0,63.0,63.0,62.0
138,64.0,60.0,60.0,64.0,64.0,64.0,63.0,62.0,57.0,57.0,56.0,58.0
139,65.0,62.0,62.0,65.0,66.0,66.0,63.0,63.0,62.0,54.0,53.0,62.0
140,65.0,61.0,61.0,65.0,66.0,66.0,64.0,66.0,60.0,55.0,54.0,60.0
141,64.0,60.0,59.0,63.0,63.0,63.0,63.0,63.0,59.0,59.0,57.0,58.0
142,66.0,61.0,61.0,66.0,66.0,66.0,65.0,65.0,63.0,61.0,61.0,61.0
143,65.0,62.0,62.0,65.0,65.0,65.0,65.0,66.0,61.0,62.0,62.0,62.0
144,65.0,61.0,60.0,64.0,64.0,64.0,64.0,64.0,56.0,58.0,58.0,59.0
145,67.0,62.0,62.0,67.0,66.0,66.0,66.0,66.0,62.0,62.0,62.0,62.0
146,66.0,63.0,63.0,66.0,66.0,66.0,66.0,66.0,60.0,63.0,63.0,63.0
147,64.0,61.0,61.0,63.0,63.0,63.0,62.0,62.0,58.0,61.0,56.0,57.0
148,65.0,64.0,64.0,65.0,65.0,65.0,64.0,64.0,62.0,64.0,60.0,60.0
149,65.0,65.0,65.0,65.0,65.0,65.0,64.0,65.0,60.0,65.0,61.0,61.0
150,65.0,62.0,62.0,63.0,64.0,64.0,63.0,63.0,56.0,61.0,57.0,58.0
151,66.0,65.0,65.0,66.0,66.0,66.0,65.0,65.0,61.0,65.0,61.0,61.0
152,66.0,66.0,66.0,66.0,66.0,66.0,65.0,65.0,61.0,65.0,62.0,62.0
153,63.0,62.0,62.0,63.0,64.0,64.0,63.0,62.0,56.0,57.0,57.0,58.0
154,64.0,63.0,63.0,64.0,66.0,66.0,63.0,64.0,62.0,62.0,62.0,59.0
155,67.0,66.0,66.0,67.0,66.0,66.0,64.0,64.0,60.0,63.0,63.0,63.0
156,63.0,60.0,60.0,62.0,62.0,62.0,61.0,61.0,57.0,60.0,55.0,56.0
157,64.0,63.0,63.0,64.0,65.0,65.0,63.0,63.0,61.0,63.0,59.0,59.0
158,64.0,64.0,64.0,64.0,64.0,64.0,63.0,63.0,59.0,64.0,60.0,60.0
159,64.0,61.0,61.0,62.0,63.0,63.0,62.0,62.0,55.0,61.0,56.0,57.0
160,65.0,64.0,64.0,65.0,66.0,66.0,64.0,64.0,60.0,64.0,60.0,60.0
161,65.0,65.0,65.0,65.0,65.0,65.0,64.0,64.0,60.0,65.0,61.0,61.0
162,62.0,62.0,62.0,62.0,63.0,63.0,62.0,61.0,55.0,60.0,56.0,57.0
163,64.0,62.0,62.0,64.0,65.0,65.0,63.0,63.0,61.0,62.0,61.0,58.0
164,66.0,66.0,66.0,66.0,65.0,65.0,63.0,63.0,60.0,65.0,62.0,62.0
165,62.0,61.0,61.0,62.0,61.0,61.0,61.0,61.0,55.0,56.0,55.0,56.0
166,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,57.0,57.0,57.0,57.0
167,67.0,66.0,66.0,67.0,63.0,63.0,64.0,64.0,60.0,60.0,60.0,60.0
