Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
126,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
127,54.0,53.0,54.0,53.0,54.0,54.0,52.0,53.0,52.0,52.0,52.0,53.0
128,58.0,58.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
129,50.0,50.0,50.0,50.0,55.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
130,55.0,54.0,56.0,56.0,56.0,52.0,50.0,51.0,50.0,50.0,50.0,51.0
131,56.0,56.0,56.0,56.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
132,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
133,53.0,53.0,53.0,53.0,53.0,53.0,51.0,52.0,51.0,51.0,51.0,52.0
134,57.0,57.0,57.0,57.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
135,46.0,42.0,46.0,43.0,45.0,47.0,46.0,46.0,46.0,46.0,46.0,46.0
136,47.0,45.0,47.0,45.0,47.0,53.0,48.0,48.0,48.0,48.0,48.0,48.0
137,51.0,47.0,52.0,47.0,51.0,52.0,47.0,47.0,50.0,50.0,47.0,47.0
138,51.0,51.0,55.0,51.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0
139,57.0,57.0,57.0,57.0,59.0,54.0,58.0,58.0,52.0,52.0,58.0,58.0
140,56.0,56.0,56.0,56.0,58.0,57.0,54.0,58.0,57.0,57.0,54.0,58.0
141,51.0,54.0,55.0,54.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
142,57.0,57.0,57.0,57.0,58.0,56.0,57.0,57.0,52.0,52.0,57.0,57.0
143,56.0,56.0,56.0,56.0,58.0,57.0,58.0,57.0,57.0,57.0,58.0,57.0
144,52.0,52.0,52.0,52.0,57.0,52.0,50.0,51.0,50.0,50.0,50.0,51.0
145,58.0,58.0,58.0,58.0,58.0,57.0,52.0,53.0,46.0,46.0,52.0,53.0
146,57.0,56.0,56.0,56.0,59.0,57.0,53.0,53.0,51.0,51.0,53.0,53.0
147,50.0,54.0,54.0,54.0,56.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
148,57.0,57.0,57.0,57.0,57.0,55.0,56.0,56.0,51.0,51.0,56.0,56.0
149,55.0,55.0,55.0,55.0,57.0,56.0,57.0,56.0,56.0,56.0,57.0,56.0
150,51.0,51.0,51.0,51.0,56.0,51.0,50.0,52.0,50.0,50.0,50.0,52.0
151,57.0,57.0,57.0,57.0,57.0,56.0,51.0,57.0,46.0,46.0,51.0,57.0
152,56.0,55.0,55.0,55.0,58.0,56.0,52.0,57.0,51.0,51.0,52.0,57.0
153,52.0,52.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0
154,54.0,53.0,54.0,53.0,54.0,54.0,52.0,53.0,46.0,46.0,52.0,53.0
155,53.0,53.0,54.0,53.0,54.0,55.0,52.0,53.0,51.0,51.0,52.0,53.0
156,49.0,53.0,53.0,53.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
157,56.0,56.0,56.0,56.0,56.0,54.0,55.0,55.0,50.0,50.0,55.0,55.0
158,54.0,54.0,54.0,54.0,56.0,55.0,56.0,55.0,55.0,55.0,56.0,55.0
159,50.0,50.0,50.0,50.0,55.0,50.0,49.0,51.0,49.0,49.0,49.0,51.0
160,56.0,56.0,56.0,56.0,56.0,55.0,50.0,56.0,45.0,45.0,50.0,56.0
161,55.0,54.0,54.0,54.0,57.0,55.0,51.0,56.0,50.0,50.0,51.0,56.0
162,51.0,51.0,51.0,51.0,51.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0
163,53.0,53.0,53.0,53.0,53.0,53.0,51.0,52.0,45.0,45.0,51.0,52.0
164,52.0,53.0,53.0,53.0,53.0,54.0,51.0,52.0,50.0,50.0,51.0,52.0
165,46.0,43.0,47.0,43.0,46.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0
166,47.0,45.0,47.0,45.0,47.0,54.0,48.0,48.0,42.0,42.0,48.0,48.0
167,50.0,45.0,50.0,45.0,48.0,54.0,47.0,47.0,47.0,47.0,47.0,47.0
