Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
110,43.0,43.0,43.0,41.0,41.0,42.0,39.0,41.0,43.0,37.0,43.0,43.0
111,41.0,41.0,41.0,39.0,39.0,40.0,38.0,40.0,42.0,42.0,41.0,41.0
112,43.0,43.0,43.0,41.0,41.0,42.0,39.0,41.0,43.0,43.0,43.0,43.0
113,44.0,44.0,44.0,42.0,42.0,43.0,39.0,42.0,44.0,43.0,43.0,44.0
114,41.0,41.0,41.0,39.0,39.0,40.0,37.0,40.0,41.0,41.0,40.0,40.0
115,42.0,42.0,42.0,41.0,41.0,41.0,38.0,40.0,42.0,42.0,42.0,42.0
116,43.0,43.0,43.0,41.0,41.0,42.0,42.0,42.0,44.0,42.0,42.0,44.0
117,40.0,40.0,40.0,39.0,39.0,39.0,37.0,39.0,41.0,36.0,40.0,41.0
118,42.0,42.0,42.0,42.0,42.0,41.0,39.0,40.0,42.0,39.0,41.0,42.0
119,44.0,44.0,44.0,42.0,42.0,43.0,43.0,42.0,44.0,38.0,42.0,44.0
120,41.0,41.0,41.0,40.0,40.0,40.0,38.0,40.0,42.0,41.0,42.0,42.0
121,43.0,43.0,43.0,42.0,42.0,42.0,39.0,41.0,44.0,43.0,43.0,44.0
122,44.0,44.0,44.0,42.0,42.0,43.0,43.0,41.0,43.0,43.0,43.0,43.0
123,43.0,41.0,41.0,41.0,39.0,42.0,38.0,40.0,42.0,41.0,41.0,42.0
124,43.0,43.0,43.0,42.0,42.0,42.0,42.0,41.0,44.0,43.0,42.0,44.0
125,44.0,44.0,44.0,42.0,42.0,43.0,43.0,42.0,43.0,43.0,43.0,43.0
126,42.0,42.0,42.0,40.0,40.0,41.0,38.0,40.0,42.0,41.0,41.0,42.0
127,44.0,44.0,44.0,43.0,42.0,43.0,43.0,41.0,44.0,43.0,42.0,44.0
128,43.0,43.0,43.0,42.0,42.0,42.0,41.0,41.0,43.0,43.0,43.0,43.0
129,42.0,41.0,41.0,40.0,39.0,41.0,37.0,39.0,41.0,40.0,40.0,41.0
130,42.0,42.0,42.0,42.0,42.0,41.0,41.0,40.0,43.0,42.0,41.0,43.0
131,43.0,43.0,43.0,42.0,42.0,42.0,42.0,41.0,43.0,42.0,42.0,43.0
132,41.0,41.0,41.0,39.0,39.0,40.0,37.0,40.0,41.0,40.0,40.0,41.0
133,43.0,43.0,43.0,42.0,42.0,42.0,42.0,40.0,43.0,42.0,42.0,43.0
134,43.0,43.0,43.0,42.0,42.0,42.0,41.0,41.0,43.0,42.0,42.0,43.0
135,41.0,41.0,41.0,39.0,39.0,40.0,37.0,39.0,41.0,35.0,40.0,41.0
136,42.0,42.0,42.0,42.0,42.0,41.0,39.0,40.0,42.0,39.0,41.0,42.0
137,43.0,43.0,43.0,42.0,42.0,42.0,39.0,40.0,43.0,37.0,42.0,43.0
138,41.0,41.0,41.0,39.0,40.0,40.0,37.0,39.0,42.0,40.0,41.0,42.0
139,43.0,43.0,42.0,43.0,43.0,42.0,40.0,41.0,43.0,41.0,43.0,43.0
140,43.0,43.0,42.0,42.0,42.0,42.0,41.0,41.0,43.0,42.0,41.0,43.0
141,43.0,41.0,41.0,42.0,40.0,42.0,37.0,40.0,42.0,40.0,41.0,42.0
142,43.0,43.0,42.0,43.0,43.0,42.0,40.0,41.0,43.0,41.0,42.0,43.0
143,43.0,43.0,42.0,42.0,42.0,42.0,41.0,41.0,43.0,42.0,42.0,43.0
144,42.0,42.0,41.0,41.0,41.0,41.0,37.0,40.0,42.0,40.0,41.0,42.0
145,43.0,43.0,42.0,43.0,43.0,42.0,41.0,41.0,43.0,41.0,42.0,43.0
146,43.0,43.0,42.0,42.0,42.0,42.0,39.0,41.0,43.0,42.0,42.0,43.0
147,42.0,41.0,41.0,41.0,40.0,41.0,37.0,39.0,41.0,40.0,41.0,41.0
148,43.0,43.0,42.0,43.0,43.0,42.0,40.0,41.0,43.0,41.0,42.0,43.0
149,43.0,43.0,42.0,42.0,42.0,42.0,41.0,41.0,43.0,42.0,42.0,43.0
150,42.0,41.0,41.0,41.0,40.0,41.0,37.0,40.0,41.0,40.0,41.0,41.0
151,43.0,43.0,42.0,43.0,43.0,42.0,41.0,40.0,43.0,41.0,42.0,43.0
152,43.0,43.0,42.0,42.0,42.0,42.0,39.0,41.0,43.0,42.0,42.0,43.0
153,41.0,41.0,41.0,40.0,40.0,40.0,36.0,40.0,41.0,38.0,40.0,41.0
154,43.0,43.0,42.0,43.0,43.0,42.0,40.0,40.0,43.0,40.0,41.0,43.0
155,43.0,43.0,42.0,42.0,42.0,42.0,38.0,41.0,43.0,40.0,41.0,43.0
156,41.0,40.0,40.0,40.0,39.0,40.0,36.0,38.0,40.0,39.0,40.0,40.0
157,42.0,42.0,41.0,42.0,42.0,41.0,39.0,40.0,42.0,40.0,41.0,42.0
158,42.0,42.0,41.0,41.0,41.0,41.0,40.0,40.0,42.0,41.0,41.0,42.0
159,41.0,40.0,40.0,40.0,39.0,40.0,36.0,39.0,40.0,39.0,40.0,40.0
160,42.0,42.0,41.0,42.0,42.0,41.0,40.0,40.0,42.0,40.0,41.0,42.0
161,42.0,42.0,41.0,41.0,41.0,41.0,39.0,40.0,42.0,41.0,41.0,42.0
162,40.0,40.0,40.0,39.0,39.0,39.0,36.0,39.0,40.0,37.0,39.0,40.0
163,42.0,42.0,41.0,42.0,42.0,41.0,39.0,40.0,42.0,40.0,41.0,42.0
164,42.0,42.0,41.0,41.0,41.0,41.0,38.0,40.0,42.0,40.0,41.0,42.0
165,40.0,40.0,39.0,39.0,39.0,39.0,34.0,38.0,40.0,32.0,39.0,40.0
166,41.0,41.0,40.0,40.0,40.0,40.0,37.0,39.0,41.0,38.0,39.0,41.0
167,42.0,42.0,41.0,41.0,41.0,41.0,37.0,40.0,42.0,35.0,40.0,42.0
