Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
95,54.0,53.0,59.0,53.0,63.0,55.0,50.0,57.0,58.0,60.0,63.0,60.0,60.0,53.0
96,56.0,57.0,58.0,55.0,57.0,55.0,55.0,58.0,57.0,55.0,57.0,54.0,58.0,57.0
97,50.0,49.0,55.0,49.0,59.0,57.0,51.0,54.0,55.0,56.0,57.0,56.0,60.0,49.0
98,54.0,53.0,58.0,53.0,60.0,55.0,49.0,57.0,58.0,60.0,58.0,60.0,60.0,53.0
99,63.0,64.0,64.0,62.0,58.0,62.0,62.0,64.0,63.0,61.0,58.0,61.0,60.0,58.0
100,56.0,56.0,60.0,54.0,60.0,58.0,54.0,56.0,56.0,60.0,60.0,60.0,62.0,51.0
101,61.0,59.0,60.0,59.0,62.0,58.0,56.0,59.0,61.0,60.0,62.0,60.0,61.0,54.0
102,63.0,64.0,64.0,62.0,56.0,62.0,62.0,64.0,63.0,61.0,58.0,61.0,59.0,59.0
103,56.0,56.0,60.0,54.0,60.0,58.0,54.0,56.0,56.0,60.0,59.0,60.0,61.0,52.0
104,61.0,59.0,60.0,59.0,60.0,58.0,56.0,59.0,61.0,60.0,59.0,60.0,61.0,55.0
105,59.0,60.0,59.0,58.0,56.0,58.0,58.0,59.0,58.0,56.0,55.0,57.0,58.0,59.0
106,52.0,52.0,55.0,50.0,60.0,54.0,50.0,55.0,56.0,59.0,56.0,59.0,62.0,52.0
107,57.0,55.0,58.0,55.0,60.0,55.0,52.0,57.0,58.0,60.0,55.0,60.0,60.0,55.0
108,49.0,49.0,50.0,47.0,56.0,54.0,47.0,52.0,51.0,49.0,55.0,49.0,62.0,50.0
109,47.0,48.0,41.0,46.0,50.0,52.0,46.0,43.0,47.0,45.0,49.0,49.0,55.0,48.0
110,53.0,52.0,46.0,52.0,49.0,57.0,51.0,48.0,49.0,45.0,49.0,50.0,56.0,43.0
111,52.0,53.0,54.0,51.0,51.0,57.0,52.0,52.0,51.0,55.0,52.0,54.0,58.0,51.0
112,51.0,52.0,45.0,50.0,50.0,58.0,51.0,45.0,46.0,49.0,50.0,54.0,55.0,50.0
113,57.0,56.0,50.0,56.0,52.0,62.0,55.0,49.0,50.0,48.0,51.0,55.0,53.0,45.0
114,58.0,59.0,60.0,57.0,58.0,64.0,57.0,59.0,58.0,61.0,57.0,61.0,64.0,56.0
115,50.0,51.0,51.0,49.0,56.0,57.0,50.0,53.0,53.0,55.0,56.0,55.0,62.0,58.0
