Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
136,40.0,48.0,48.0,40.0,40.0,42.0,42.0,43.0,43.0,39.0
137,44.0,47.0,46.0,43.0,43.0,44.0,44.0,44.0,44.0,43.0
138,46.0,46.0,46.0,46.0,46.0,44.0,44.0,44.0,44.0,45.0
139,48.0,48.0,48.0,47.0,47.0,46.0,46.0,46.0,46.0,47.0
140,51.0,48.0,48.0,50.0,50.0,49.0,49.0,49.0,49.0,50.0
141,46.0,48.0,47.0,46.0,46.0,45.0,45.0,46.0,46.0,45.0
142,50.0,49.0,48.0,49.0,49.0,48.0,48.0,48.0,48.0,49.0
143,51.0,49.0,48.0,50.0,50.0,49.0,49.0,49.0,49.0,50.0
144,46.0,45.0,44.0,46.0,46.0,45.0,45.0,45.0,45.0,45.0
145,51.0,50.0,49.0,50.0,50.0,49.0,49.0,49.0,49.0,50.0
146,51.0,48.0,47.0,50.0,50.0,49.0,49.0,49.0,49.0,50.0
147,47.0,48.0,47.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
148,49.0,53.0,52.0,48.0,48.0,47.0,47.0,47.0,47.0,48.0
149,50.0,52.0,51.0,49.0,49.0,48.0,48.0,48.0,48.0,49.0
150,48.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
151,50.0,54.0,53.0,49.0,49.0,48.0,48.0,48.0,48.0,49.0
152,50.0,53.0,52.0,49.0,49.0,48.0,48.0,48.0,48.0,49.0
153,45.0,47.0,46.0,45.0,45.0,45.0,45.0,44.0,45.0,44.0
154,47.0,48.0,48.0,46.0,46.0,44.0,44.0,44.0,44.0,46.0
155,47.0,49.0,48.0,46.0,46.0,47.0,47.0,45.0,47.0,46.0
156,46.0,47.0,46.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
157,48.0,52.0,51.0,47.0,47.0,46.0,46.0,46.0,46.0,47.0
158,49.0,51.0,50.0,48.0,48.0,47.0,47.0,47.0,47.0,48.0
159,47.0,47.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
160,49.0,53.0,52.0,48.0,48.0,47.0,47.0,47.0,47.0,48.0
161,49.0,52.0,51.0,48.0,48.0,47.0,47.0,47.0,47.0,48.0
162,48.0,46.0,45.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
163,48.0,52.0,51.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
164,48.0,50.0,49.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
165,39.0,41.0,41.0,38.0,38.0,41.0,41.0,41.0,41.0,38.0
166,40.0,47.0,46.0,39.0,39.0,42.0,42.0,42.0,42.0,39.0
167,40.0,42.0,43.0,39.0,39.0,43.0,43.0,42.0,43.0,39.0
