Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
154,50.0,50.0,56.0,55.0,55.0,55.0,55.0,52.0
155,55.0,56.0,57.0,57.0,55.0,55.0,55.0,52.0
156,60.0,60.0,59.0,59.0,49.0,60.0,48.0,54.0
157,54.0,54.0,56.0,55.0,53.0,58.0,53.0,59.0
158,59.0,59.0,56.0,55.0,54.0,58.0,53.0,60.0
159,59.0,59.0,60.0,60.0,50.0,61.0,48.0,55.0
160,55.0,55.0,57.0,56.0,54.0,59.0,54.0,58.0
161,55.0,55.0,57.0,56.0,55.0,59.0,54.0,57.0
162,53.0,53.0,61.0,61.0,50.0,58.0,48.0,49.0
163,49.0,49.0,57.0,57.0,55.0,56.0,55.0,51.0
164,55.0,55.0,57.0,57.0,56.0,56.0,55.0,51.0
165,43.0,44.0,51.0,51.0,42.0,51.0,40.0,49.0
166,40.0,41.0,52.0,48.0,48.0,51.0,47.0,52.0
167,45.0,46.0,51.0,48.0,48.0,49.0,47.0,51.0
